SERIES	Q	X
SERIESA	12	10
SERIESA	20	11
SERIESA	18	12
SERIESA	20	13
SERIESA	24	14
SERIESA	26	15
SERIESA	20	16
SERIESA	18	17
SERIESA	20	18
SERIESA	24	19
SERIESA	26	20
SERIESA	12	21
SERIESA	20	22
SERIESA	18	23
SERIESA	20	24
SERIESA	24	25
SERIESA	26	26
SERIESA	20	27
SERIESA	18	28
SERIESA	20	29
SERIESA	24	30
SERIESA	12	10
SERIESA	20	11
SERIESA	18	12
SERIESA	20	13
SERIESA	24	14
SERIESA	26	15
SERIESA	20	16
SERIESA	18	17
SERIESA	20	18
SERIESA	24	19
SERIESA	26	20
SERIESA	12	21
SERIESA	20	22
SERIESA	18	23
SERIESA	20	24
SERIESA	24	25
SERIESA	26	26
SERIESA	20	27
SERIESA	18	28
SERIESA	20	29
SERIESB	26	11
SERIESB	28	12
SERIESB	34	13
SERIESB	34	14
SERIESB	36	15
SERIESB	44	16
SERIESB	42	17
SERIESB	44	18
SERIESB	48	19
SERIESB	50	20
SERIESB	52	21
SERIESB	58	22
SERIESB	58	23
SERIESB	64	24
SERIESB	64	25
SERIESB	62	26
SERIESB	61	27
SERIESB	77	28
SERIESB	74	29
SERIESB	76	30
SERIESB	62	31
SERIESB	68	32
SERIESB	68	33
SERIESB	64	34
SERIESB	64	35
SERIESB	62	36
SERIESB	61	37
SERIESB	67	38
SERIESB	64	39
SERIESB	66	40
SERIESB	26	11
SERIESB	28	12
SERIESB	34	13
SERIESB	34	14
SERIESB	36	15
SERIESB	44	16
SERIESB	42	17
SERIESB	44	18
SERIESB	48	19
SERIESB	50	20
SERIESB	52	21
SERIESB	58	22
SERIESB	58	23
SERIESB	64	24
SERIESB	64	25
SERIESB	62	26
SERIESB	61	27
SERIESB	77	28
SERIESB	74	29
SERIESB	76	30
SERIESC	54	20
SERIESC	60	21
SERIESC	60	22
SERIESC	64	23
SERIESC	66	24
SERIESC	68	25
SERIESC	72	26
SERIESC	74	27
SERIESC	76	28
SERIESC	82	29
SERIESC	82	30
SERIESC	84	31
SERIESC	88	32
SERIESC	92	33
SERIESC	94	34
SERIESC	91	35
SERIESC	104	36
SERIESC	102	37
SERIESC	104	38
SERIESC	92	39
SERIESC	92	40
SERIESC	94	20
SERIESC	98	21
SERIESC	92	22
SERIESC	94	23
SERIESC	91	24
SERIESC	104	25
SERIESC	102	26
SERIESC	104	27
SERIESC	72	28
SERIESC	74	29
SERIESC	76	30
SERIESC	82	31
SERIESC	82	32
SERIESC	84	33
SERIESC	92	34
SERIESC	94	35
SERIESC	76	36
SERIESC	82	37
SERIESC	82	38
SERIESC	84	39
SERIESC	88	40
SERIESC	92	41
SERIESC	94	42
SERIESC	91	43
SERIESC	104	44
SERIESC	102	45
