SERIES	Q	X
SERIESA	1	1
SERIESA	2	2
SERIESA	6	3
SERIESA	8	4
SERIESA	10	5
SERIESA	12	6
SERIESA	18	7
SERIESA	18	8
SERIESA	20	9
SERIESA	24	10
SERIESA	26	11
SERIESA	28	12
SERIESA	32	13
SERIESA	36	14
SERIESA	36	15
SERIESA	40	16
SERIESA	42	17
SERIESA	44	18
SERIESA	48	19
SERIESA	50	20
SERIESB	26	11
SERIESB	28	12
SERIESB	34	13
SERIESB	34	14
SERIESB	36	15
SERIESB	40	16
SERIESB	42	17
SERIESB	44	18
SERIESB	48	19
SERIESB	50	20
SERIESB	52	21
SERIESB	58	22
SERIESB	58	23
SERIESB	60	24
SERIESB	64	25
SERIESB	66	26
SERIESB	68	27
SERIESB	72	28
SERIESB	74	29
SERIESB	76	30
SERIESB	52	21
