SERIES	Q	X
SERIESA	12.39999962	11.19999981
SERIESA	14.30000019	12.5
SERIESA	14.5	12.69999981
SERIESA	14.89999962	13.10000038
SERIESA	16.10000038	14.10000038
SERIESA	16.89999962	14.80000019
SERIESA	16.5	14.39999962
SERIESA	15.39999962	13.39999962
SERIESA	17	14.89999962
SERIESA	17.89999962	15.60000038
SERIESA	18.79999924	16.39999962
SERIESA	20.29999924	17.70000076
SERIESA	22.39999962	19.60000038
SERIESA	19.39999962	16.89999962
SERIESA	15.5	14
SERIESA	16.70000076	14.60000038
SERIESA	17.29999924	15.10000038
SERIESA	18.39999962	16.10000038
SERIESA	19.20000076	16.79999924
SERIESA	17.39999962	15.19999981
SERIESB	19.5	17
SERIESB	19.70000076	17.20000076
SERIESB	21.20000076	18.60000038
























